Date,Location,Age,Count
12/26/1989,PRH,BULL-SA4,4
12/26/1989,PRH,SA1-3,3
12/26/1989,PRH,COW,3
12/26/1989,PRH,IMM,49
1/10/1990,PRH,BULL-SA4,4
1/10/1990,PRH,SA1-3,5
1/10/1990,PRH,COW,19
1/10/1990,PRH,PUP,6
1/10/1990,PRH,IMM,19
1/10/1990,SB,SA1-3,5
1/15/1990,PRH,BULL-SA4,4
1/15/1990,PRH,SA1-3,1
1/15/1990,PRH,COW,30
1/15/1990,PRH,PUP,14
1/15/1990,PRH,IMM,7
1/15/1990,SB,BULL-SA4,2
1/15/1990,SB,SA1-3,2
1/15/1990,SB,IMM,2
1/20/1990,PRH,BULL-SA4,4
1/20/1990,PRH,SA1-3,1
1/20/1990,PRH,COW,39
1/20/1990,PRH,PUP,27
1/20/1990,PRH,IMM,10
1/20/1990,SB,BULL-SA4,1
1/20/1990,SB,IMM,1
1/21/1990,PRH,BULL-SA4,4
1/21/1990,PRH,COW,40
1/21/1990,PRH,PUP,29
1/21/1990,PRH,IMM,6
1/21/1990,SB,IMM,1
1/24/1990,PRH,BULL-SA4,3
1/24/1990,PRH,SA1-3,4
1/24/1990,PRH,COW,49
1/24/1990,PRH,PUP,36
1/24/1990,PRH,IMM,4
1/24/1990,SB,BULL-SA4,3
1/31/1990,PRH,BULL-SA4,4
1/31/1990,PRH,SA1-3,1
1/31/1990,PRH,COW,52
1/31/1990,PRH,PUP,44
1/31/1990,PRH,WNR,2
1/31/1990,SB,BULL-SA4,2
1/31/1990,SB,SA1-3,1
2/4/1990,PRH,BULL-SA4,6
2/4/1990,PRH,SA1-3,1
2/4/1990,PRH,COW,48
2/4/1990,PRH,PUP,43
2/4/1990,PRH,WNR,2
2/4/1990,PRH,IMM,1
2/4/1990,SB,SA1-3,2
2/9/1990,PRH,BULL-SA4,4
2/9/1990,PRH,SA1-3,2
2/9/1990,PRH,COW,39
2/9/1990,PRH,PUP,39
2/9/1990,PRH,WNR,10
3/5/1990,PRH,BULL-SA4,5
3/5/1990,PRH,SA1-3,2
3/5/1990,PRH,COW,5
3/5/1990,PRH,PUP,5
3/5/1990,PRH,WNR,47
3/10/1990,PRH,BULL-SA4,4
3/10/1990,PRH,SA1-3,3
3/10/1990,PRH,COW,2
3/10/1990,PRH,PUP,2
3/10/1990,PRH,WNR,47
3/10/1990,PRH,IMM,2
3/20/1990,PRH,BULL-SA4,2
3/20/1990,PRH,SA1-3,2
3/20/1990,PRH,COW,1
3/20/1990,PRH,WNR,48
3/20/1990,PRH,IMM,24
11/16/1990,PRH,IMM,243
11/29/1990,PRH,SA1-3,2
11/29/1990,PRH,IMM,185
12/1/1990,PRH,IMM,132
12/18/1990,PRH,BULL-SA4,2
12/18/1990,PRH,SA1-3,6
12/18/1990,PRH,COW,1
12/18/1990,PRH,IMM,34
12/25/1990,PRH,BULL-SA4,3
12/25/1990,PRH,SA1-3,3
12/25/1990,PRH,COW,1
12/25/1990,PRH,PUP,1
12/25/1990,PRH,IMM,37
12/28/1990,PRH,BULL-SA4,4
12/28/1990,PRH,SA1-3,12
12/28/1990,PRH,COW,3
12/28/1990,PRH,PUP,1
12/28/1990,PRH,IMM,30
1/4/1991,PRH,BULL-SA4,3
1/4/1991,PRH,SA1-3,9
1/4/1991,PRH,COW,11
1/4/1991,PRH,PUP,2
1/4/1991,PRH,IMM,15
1/10/1991,PRH,BULL-SA4,4
1/10/1991,PRH,SA1-3,8
1/10/1991,PRH,COW,21
1/10/1991,PRH,PUP,11
1/10/1991,PRH,IMM,9
1/11/1991,PRH,BULL-SA4,4
1/11/1991,PRH,SA1-3,7
1/11/1991,PRH,COW,30
1/11/1991,PRH,PUP,12
1/11/1991,PRH,IMM,14
1/21/1991,PRH,BULL-SA4,4
1/21/1991,PRH,SA1-3,12
1/21/1991,PRH,COW,61
1/21/1991,PRH,PUP,48
1/21/1991,PRH,WNR,1
1/21/1991,PRH,IMM,7
1/23/1991,PRH,BULL-SA4,6
1/23/1991,PRH,SA1-3,10
1/23/1991,PRH,COW,72
1/23/1991,PRH,PUP,56
1/23/1991,PRH,WNR,1
1/23/1991,PRH,IMM,10
1/28/1991,PRH,BULL-SA4,5
1/28/1991,PRH,SA1-3,10
1/28/1991,PRH,COW,74
1/28/1991,PRH,PUP,66
1/28/1991,PRH,DEADPUP,1
1/28/1991,PRH,WNR,2
1/28/1991,PRH,IMM,3
1/30/1991,PRH,BULL-SA4,4
1/30/1991,PRH,SA1-3,7
1/30/1991,PRH,COW,79
1/30/1991,PRH,PUP,73
1/30/1991,PRH,DEADPUP,1
1/30/1991,PRH,WNR,2
1/30/1991,PRH,IMM,1
2/6/1991,PRH,BULL-SA4,5
2/6/1991,PRH,SA1-3,7
2/6/1991,PRH,COW,73
2/6/1991,PRH,PUP,69
2/6/1991,PRH,DEADPUP,1
2/6/1991,PRH,WNR,9
2/7/1991,PRH,BULL-SA4,4
2/7/1991,PRH,SA1-3,6
2/7/1991,PRH,COW,69
2/7/1991,PRH,PUP,66
2/7/1991,PRH,WNR,10
2/7/1991,PRH,IMM,1
2/11/1991,PRH,BULL-SA4,6
2/11/1991,PRH,SA1-3,8
2/11/1991,PRH,COW,53
2/11/1991,PRH,PUP,59
2/11/1991,PRH,WNR,19
2/15/1991,PRH,BULL-SA4,6
2/15/1991,PRH,SA1-3,12
2/15/1991,PRH,COW,39
2/15/1991,PRH,PUP,32
2/15/1991,PRH,DEADPUP,1
2/15/1991,PRH,WNR,31
2/15/1991,PRH,IMM,1
2/18/1991,PRH,BULL-SA4,4
2/18/1991,PRH,SA1-3,3
2/18/1991,PRH,COW,20
2/18/1991,PRH,PUP,20
2/18/1991,PRH,WNR,30
