Date,Location,Age,Count
2/6/1991,PR Headlands,DEADPUP,1
2/6/1991,PR Headlands,WNR,9
2/7/1991,PR Headlands,BULL-SA4,4
2/7/1991,PR Headlands,SA1-3,6
2/7/1991,PR Headlands,COW,69
2/7/1991,PR Headlands,PUP,66
2/7/1991,PR Headlands,WNR,10
2/7/1991,PR Headlands,IMM,1
2/11/1991,PR Headlands,BULL-SA4,6
2/11/1991,PR Headlands,SA1-3,8
2/11/1991,PR Headlands,COW,53
2/11/1991,PR Headlands,PUP,59
2/11/1991,PR Headlands,WNR,19
2/15/1991,PR Headlands,BULL-SA4,6
2/15/1991,PR Headlands,SA1-3,12
2/15/1991,PR Headlands,COW,39
2/15/1991,PR Headlands,PUP,32
2/15/1991,PR Headlands,DEADPUP,1
2/15/1991,PR Headlands,WNR,31
2/15/1991,PR Headlands,IMM,1
2/18/1991,PR Headlands,BULL-SA4,4
2/18/1991,PR Headlands,SA1-3,3
2/18/1991,PR Headlands,COW,20
2/18/1991,PR Headlands,PUP,20
2/18/1991,PR Headlands,WNR,30
2/24/1991,PR Headlands,BULL-SA4,5
2/24/1991,PR Headlands,SA1-3,8
2/24/1991,PR Headlands,COW,14
2/24/1991,PR Headlands,PUP,14
2/24/1991,PR Headlands,DEADPUP,1
2/24/1991,PR Headlands,WNR,65
2/24/1991,PR Headlands,IMM,1
2/26/1991,PR Headlands,BULL-SA4,4
2/26/1991,PR Headlands,SA1-3,6
2/26/1991,PR Headlands,COW,11
2/26/1991,PR Headlands,PUP,10
2/26/1991,PR Headlands,DEADPUP,1
2/26/1991,PR Headlands,WNR,69
3/8/1991,PR Headlands,BULL-SA4,5
3/8/1991,PR Headlands,SA1-3,5
3/8/1991,PR Headlands,COW,3
3/8/1991,PR Headlands,PUP,3
3/8/1991,PR Headlands,DEADPUP,1
3/8/1991,PR Headlands,WNR,67
3/8/1991,PR Headlands,IMM,1
3/13/1991,PR Headlands,BULL-SA4,4
3/13/1991,PR Headlands,SA1-3,7
3/13/1991,PR Headlands,COW,7
3/13/1991,PR Headlands,PUP,2
3/13/1991,PR Headlands,DEADPUP,1
3/13/1991,PR Headlands,WNR,59
3/13/1991,PR Headlands,IMM,8
3/22/1991,PR Headlands,SA1-3,2
3/22/1991,PR Headlands,WNR,44
3/22/1991,PR Headlands,IMM,34
3/26/1991,PR Headlands,SA1-3,1
3/26/1991,PR Headlands,WNR,20
3/26/1991,PR Headlands,IMM,103
11/4/1991,PR Headlands,IMM,325
11/29/1991,PR Headlands,SA1-3,15
11/29/1991,PR Headlands,IMM,4
12/20/1991,PR Headlands,BULL-SA4,1
12/20/1991,PR Headlands,SA1-3,20
12/20/1991,PR Headlands,COW,1
12/20/1991,PR Headlands,PUP,1
12/20/1991,PR Headlands,IMM,56
12/26/1991,PR Headlands,BULL-SA4,1
12/26/1991,PR Headlands,SA1-3,14
12/26/1991,PR Headlands,COW,2
12/26/1991,PR Headlands,PUP,1
12/26/1991,PR Headlands,IMM,11
12/31/1991,PR Headlands,BULL-SA4,2
12/31/1991,PR Headlands,SA1-3,22
12/31/1991,PR Headlands,COW,13
